Num_Threads     Chunk   Total_Time
1       16      9.7
1       32      9.6
1       64      9.6
1       128     9.6
1       256     9.6
1       512     9.6
1       1024    9.6
1       2048    9.6
1       4096    9.6
1       8192    9.6
1       10000   9.6
1       15000   9.6
1       20000   9.6
1       25000   9.6
1       30000   9.6
1       35000   9.6
1       40000   9.6
1       45000   9.6
1       50000   9.6
1       55000   9.6
1       60000   9.6
2       16      13.5
2       32      13.4
2       64      13.1
2       128     12.9
2       256     13.6
2       512     13.6
2       1024    13.5
2       2048    13.5
2       4096    13.8
2       8192    13.8
2       10000   13.8
2       15000   13.8
2       20000   13.8
2       25000   13.8
2       30000   13.5
2       35000   13.5
2       40000   13.4
2       45000   13.4
2       50000   13.1
2       55000   13.6
2       60000   13.5
3       16      12.7
3       32      12.8
3       64      13.1
3       128     14.4
3       256     13.0
3       512     13.0
3       1024    12.7
3       2048    12.8
3       4096    12.8
3       8192    12.8
3       10000   12.9
3       15000   13.0
3       20000   12.8
3       25000   12.9
3       30000   13.0
3       35000   13.6
3       40000   13.7
3       45000   13.8
3       50000   13.7
3       55000   13.8
3       60000   13.6
4       16      13.2
4       32      13.2
4       64      13.1
4       128     13.3
4       256     13.4
4       512     13.4
4       1024    13.4
4       2048    13.4
4       4096    13.2
4       8192    12.9
4       10000   13.1
4       15000   13.0
4       20000   13.2
4       25000   13.1
4       30000   13.0
4       35000   13.3
4       40000   13.4
4       45000   13.3
4       50000   13.3
4       55000   13.4
4       60000   13.4
5       16      12.8
5       32      12.9
5       64      10.7
5       128     13.0
5       256     10.8
5       512     12.8
5       1024    10.6
5       2048    12.6
5       4096    10.4
5       8192    12.5
5       10000   9.7
5       15000   12.3
5       20000   9.8
5       25000   12.2
5       30000   9.7
5       35000   12.3
5       40000   9.9
5       45000   12.3
5       50000   10.0
5       55000   12.4
5       60000   10.0
6       16      11.9
6       32      8.3
6       64      11.9
6       128     8.3
6       256     12.0
6       512     8.2
6       1024    11.9
6       2048    8.1
6       4096    11.9
6       8192    8.1
6       10000   11.8
6       15000   8.0
6       20000   11.9
6       25000   8.3
6       30000   11.9
6       35000   8.2
6       40000   12.0
6       45000   8.3
6       50000   12.0
6       55000   8.5
6       60000   11.9
7       16      12.3
7       32      11.9
7       64      7.4
7       128     12.0
7       256     12.0
7       512     12.1
7       1024    7.4
7       2048    12.2
7       4096    12.3
7       8192    12.4
7       10000   7.7
7       15000   12.5
7       20000   11.9
7       25000   12.0
7       30000   7.3
7       35000   12.0
7       40000   12.2
7       45000   12.2
7       50000   7.6
7       55000   12.5
7       60000   12.3
8       16      12.2
8       32      11.8
8       64      6.4
8       128     11.8
8       256     12.0
8       512     12.2
8       1024    6.7
8       2048    12.2
8       4096    12.3
8       8192    12.2
8       10000   6.7
8       15000   11.8
8       20000   11.8
8       25000   11.9
8       30000   6.4
8       35000   12.0
8       40000   12.2
8       45000   12.2
8       50000   6.8
8       55000   12.2
8       60000   12.2
9       16      11.7
9       32      12.3
9       64      6.8
9       128     10.4
9       256     11.8
9       512     11.9
9       1024    6.7
9       2048    10.7
9       4096    12.2
9       8192    12.1
9       10000   6.9
9       15000   10.7
9       20000   12.1
9       25000   11.7
9       30000   6.7
9       35000   10.4
9       40000   11.9
9       45000   11.9
9       50000   6.9
9       55000   11.1
9       60000   12.6
10      16      11.8
10      32      9.5
10      64      12.0
10      128     11.8
10      256     6.9
10      512     11.6
10      1024    6.8
10      2048    9.4
10      4096    11.7
10      8192    11.9
10      10000   6.9
10      15000   9.7
10      20000   11.7
10      25000   11.8
10      30000   6.7
10      35000   9.4
10      40000   11.6
10      45000   11.7
10      50000   6.8
10      55000   9.4
10      60000   11.9
11      16      11.7
11      32      8.9
11      64      8.8
11      128     8.7
11      256     9.8
11      512     8.6
11      1024    8.5
11      2048    8.7
11      4096    8.6
