Threads,Schedule,Chunk,Construct,Cache,Runtime
2,static,2,reduction,default,2.104845
2,static,4,reduction,default,2.106128
2,static,8,reduction,default,2.106316
2,static,16,reduction,default,2.10483
2,static,32,reduction,default,2.100131
2,static,64,reduction,default,2.108931
2,static,128,reduction,default,2.106999
2,static,256,reduction,default,2.105816
2,static,512,reduction,default,2.143023
2,static,1024,reduction,default,2.108083
2,static,2048,reduction,default,2.10544
2,static,4096,reduction,default,2.090488
2,dynamic,2,reduction,default,2.102708
2,dynamic,4,reduction,default,2.104445
2,dynamic,8,reduction,default,2.106658
2,dynamic,16,reduction,default,2.107192
2,dynamic,32,reduction,default,2.103782
2,dynamic,64,reduction,default,2.106541
2,dynamic,128,reduction,default,2.102816
2,dynamic,256,reduction,default,2.099181
2,dynamic,512,reduction,default,2.103475
2,dynamic,1024,reduction,default,2.105934
2,dynamic,2048,reduction,default,2.105288
2,dynamic,4096,reduction,default,2.103776
2,guided,2,reduction,default,2.101364
2,guided,4,reduction,default,2.100622
2,guided,8,reduction,default,2.103487
2,guided,16,reduction,default,2.108251
2,guided,32,reduction,default,2.144296
2,guided,64,reduction,default,2.105298
2,guided,128,reduction,default,2.099116
2,guided,256,reduction,default,2.145623
2,guided,512,reduction,default,2.105838
2,guided,1024,reduction,default,2.107747
2,guided,2048,reduction,default,2.100867
2,guided,4096,reduction,default,2.105029
2,runtime,0,reduction,default,2.102537
4,static,2,reduction,default,1.992254
4,static,4,reduction,default,2.058509
4,static,8,reduction,default,1.995851
4,static,16,reduction,default,2.035933
4,static,32,reduction,default,2.000652
4,static,64,reduction,default,1.997176
4,static,128,reduction,default,1.999375
4,static,256,reduction,default,1.999964
4,static,512,reduction,default,1.999337
4,static,1024,reduction,default,2.009194
4,static,2048,reduction,default,2.013264
4,static,4096,reduction,default,2.095152
4,dynamic,2,reduction,default,1.997026
4,dynamic,4,reduction,default,1.998021
4,dynamic,8,reduction,default,2.002486
4,dynamic,16,reduction,default,1.985365
4,dynamic,32,reduction,default,1.978753
4,dynamic,64,reduction,default,1.978607
4,dynamic,128,reduction,default,1.979444
4,dynamic,256,reduction,default,1.979552
4,dynamic,512,reduction,default,1.979246
4,dynamic,1024,reduction,default,1.975972
4,dynamic,2048,reduction,default,1.974912
4,dynamic,4096,reduction,default,1.974761
4,guided,2,reduction,default,1.973088
4,guided,4,reduction,default,1.9742
4,guided,8,reduction,default,1.974399
4,guided,16,reduction,default,1.978003
4,guided,32,reduction,default,1.974097
4,guided,64,reduction,default,1.973837
4,guided,128,reduction,default,1.974422
4,guided,256,reduction,default,1.974767
4,guided,512,reduction,default,1.974569
4,guided,1024,reduction,default,1.975694
4,guided,2048,reduction,default,1.973915
4,guided,4096,reduction,default,1.974333
4,runtime,0,reduction,default,1.975175
8,static,2,reduction,default,0.987159
8,static,4,reduction,default,0.994862
8,static,8,reduction,default,0.998009
8,static,16,reduction,default,0.998435
8,static,32,reduction,default,1.052638
8,static,64,reduction,default,1.002357
8,static,128,reduction,default,1.003399
8,static,256,reduction,default,1.002279
8,static,512,reduction,default,1.002385
8,static,1024,reduction,default,0.994796
8,static,2048,reduction,default,0.997348
8,static,4096,reduction,default,0.997602
8,dynamic,2,reduction,default,0.996972
8,dynamic,4,reduction,default,0.996416
8,dynamic,8,reduction,default,0.997197
8,dynamic,16,reduction,default,0.997074
8,dynamic,32,reduction,default,0.996514
8,dynamic,64,reduction,default,0.995025
8,dynamic,128,reduction,default,0.995725
8,dynamic,256,reduction,default,1.000725
8,dynamic,512,reduction,default,0.995878
8,dynamic,1024,reduction,default,0.996333
8,dynamic,2048,reduction,default,0.996235
8,dynamic,4096,reduction,default,0.995937
8,guided,2,reduction,default,0.999897
8,guided,4,reduction,default,1.042591
8,guided,8,reduction,default,1.041177
8,guided,16,reduction,default,0.99946
8,guided,32,reduction,default,1.003755
8,guided,64,reduction,default,0.99932
8,guided,128,reduction,default,1.00329
8,guided,256,reduction,default,1.007519
8,guided,512,reduction,default,1.001864
8,guided,1024,reduction,default,1.000804
8,guided,2048,reduction,default,1.001693
8,guided,4096,reduction,default,1.001855
8,runtime,0,reduction,default,1.00145
