Num_Threads     Chunk   Total_Time
1       1       9.6
1       2       9.6
1       4       9.6
1       8       9.6
1       16      9.6
1       32      9.6
1       64      9.5
1       128     9.7
1       256     9.6
1       512     9.6
1       1024    9.6
1       2048    9.6
2       1       13.8
2       2       13.4
2       4       13.4
2       8       13.8
2       16      13.8
2       32      13.7
2       64      13.8
2       128     13.4
2       256     13.4
2       512     13.6
2       1024    13.6
2       2048    13.6
3       1       13.1
3       2       12.9
3       4       12.8
3       8       12.6
3       16      12.7
3       32      12.4
3       64      12.7
3       128     12.8
3       256     12.5
3       512     12.7
3       1024    12.4
3       2048    12.5
4       1       12.9
4       2       12.8
4       4       12.8
4       8       13.0
4       16      13.1
4       32      12.8
4       64      13.0
4       128     12.8
4       256     12.8
4       512     12.9
4       1024    12.9
4       2048    12.9
5       1       10.2
5       2       12.6
5       4       12.6
5       8       12.4
5       16      12.3
5       32      12.8
5       64      12.7
5       128     12.9
5       256     13.0
5       512     12.7
5       1024    12.3
5       2048    12.1
6       1       12.0
6       2       12.3
6       4       8.6
6       8       12.2
6       16      8.5
6       32      12.0
6       64      8.6
6       128     12.2
6       256     8.6
6       512     12.2
6       1024    8.6
6       2048    12.2
7       1       12.0
7       2       12.1
7       4       12.0
7       8       12.0
7       16      7.3
7       32      12.1
7       64      12.1
7       128     12.2
7       256     7.3
7       512     12.3
7       1024    12.2
7       2048    12.3
8       1       6.4
8       2       11.9
8       4       11.7
8       8       6.4
8       16      11.9
8       32      11.9
8       64      11.9
8       128     6.4
8       256     11.9
8       512     12.0
8       1024    11.9
8       2048    6.4
9       1       11.5
9       2       6.7
9       4       10.7
9       8       12.1
9       16      11.6
9       32      6.8
9       64      10.6
9       128     11.9
9       256     12.0
9       512     6.7
9       1024    6.7
9       2048    10.6
10      1       11.8
10      2       11.9
10      4       7.1
10      8       9.4
10      16      11.7
10      32      11.9
10      64      7.1
10      128     9.5
10      256     11.9
10      512     11.9
10      1024    7.2
10      2048    9.6
11      1       11.5
11      2       7.6
11      4       12.0
11      8       11.9
11      16      11.8
11      32      7.5
11      64      7.7
11      128     7.6
11      256     7.6
11      512     12.0
11      1024    11.9
11      2048    11.4
12      1       11.6
12      2       8.3
12      4       7.8
12      8       7.6
12      16      7.6
12      32      7.7
12      64      7.6
12      128     7.8
12      256     7.8
12      512     7.9
12      1024    7.8
12      2048    7.6
13      1       7.9
13      2       11.4
13      4       8.1
13      8       8.1
13      16      8.2
13      32      8.2
13      64      8.1
13      128     8.0
13      256     7.9
13      512     8.1
13      1024    7.9
13      2048    8.1
14      1       8.2
14      2       9.9
14      4       6.8
14      8       6.8
14      16      6.9
14      32      6.8
14      64      6.8
14      128     7.2
14      256     6.8
14      512     11.4
14      1024    11.6
14      2048    11.6
15      1       8.3
15      2       8.5
15      4       8.6
15      8       8.5
15      16      8.6
15      32      8.3
15      64      8.5
15      128     11.7
15      256     9.4
15      512     6.4
15      1024    8.3
15      2048    11.6
16      1       8.7
16      2       8.5
16      4       5.9
16      8       11.6
16      16      8.8
16      32      5.9
16      64      8.6
16      128     11.5
16      256     8.8
16      512     6.0
16      1024    8.6
16      2048    11.3
18      1       7.8
18      2       10.3
18      4       8.0
18      8       6.5
18      16      9.2
18      32      10.8
18      64      8.2
18      128     6.5
18      256     9.0
18      512     10.4
18      1024    7.9
18      2048    6.6
20      1       7.1
20      2       9.5
20      4       7.3
20      8       9.4
20      16      9.2
20      32      7.0
20      64      9.3
20      128     7.3
20      256     9.5
20      512     7.2
20      1024    9.0
20      2048    7.2
24      1       7.8
24      2       5.9
24      4       8.0
24      8       7.6
24      16      7.9
24      32      8.0
24      64      7.8
24      128     8.0
24      256     7.6
24      512     8.0
24      1024    8.0
24      2048    8.0
30      1       6.5
30      2       6.6
30      4       6.5
30      8       6.5
30      16      6.3
30      32      6.4
30      64      6.6
30      128     6.7
30      256     6.4
30      512     6.7
30      1024    6.7
30      2048    6.5
36      1       5.3
36      2       5.4
36      4       5.8
36      8       5.2
36      16      5.7
36      32      5.5
36      64      5.6
36      128     5.5
36      256     5.5
36      512     5.4
36      1024    5.6
36      2048    5.5
48      1       4.1
48      2       4.2
48      4       4.4
48      8       4.2
48      16      4.4
48      32      4.1
48      64      4.4
48      128     4.1
48      256     4.5
48      512     4.3
48      1024    4.4
48      2048    4.1
64      1       3.3
64      2       3.2
64      4       3.3
64      8       3.2
64      16      3.3
64      32      3.2
64      64      3.2
64      128     3.1
64      256     3.4
64      512     3.3
64      1024    3.2
64      2048    3.2
72      1       2.9
72      2       2.9
72      4       2.9
72      8       2.9
72      16      2.9
72      32      3.0
72      64      2.9
72      128     2.8
72      256     2.8
72      512     2.9
72      1024    3.0
72      2048    3.0
96      1       2.2
96      2       2.2
96      4       2.3
96      8       2.2
96      16      2.3
96      32      2.2
96      64      2.3
96      128     2.4
96      256     2.2
96      512     2.3
96      1024    2.3
96      2048    2.2
128     1       1.7
128     2       1.7
128     4       1.7
128     8       1.8
128     16      1.8
128     32      1.7
128     64      1.8
128     128     1.7
128     256     1.8
128     512     1.7
128     1024    1.8
128     2048    1.7
200     1       1.5
200     2       1.5
200     4       1.5
200     8       1.5
200     16      1.5
200     32      1.5
200     64      1.5
200     128     1.5
200     256     1.4
200     512     1.5
200     1024    1.5
200     2048    1.5
256     1       1.5
256     2       1.5
256     4       1.4
256     8       1.5
256     16      1.5
256     32      1.5
256     64      1.4
256     128     1.5
256     256     1.5
256     512     1.5
256     1024    1.3
256     2048    1.4
