Num_Threads     Chunk   Total_Time
1       1       9.6
1       2       9.6
1       4       9.6
1       8       9.6
1       16      9.6
1       32      9.6
1       64      9.6
1       128     9.8
1       256     9.6
1       512     9.6
1       1024    9.6
1       2048    9.6
2       1       13.7
2       2       13.3
2       4       13.3
2       8       13.3
2       16      13.7
2       32      13.7
2       64      13.7
2       128     13.7
2       256     13.6
2       512     13.6
2       1024    12.9
2       2048    12.9
3       1       12.7
3       2       13.1
3       4       13.0
3       8       13.0
3       16      12.6
3       32      12.6
3       64      12.7
3       128     13.5
3       256     13.6
3       512     13.5
3       1024    13.5
3       2048    13.4
4       1       13.0
4       2       12.9
4       4       13.0
4       8       13.2
4       16      13.4
4       32      13.5
4       64      13.2
4       128     13.2
4       256     13.1
4       512     12.8
4       1024    12.3
4       2048    12.3
5       1       12.5
5       2       12.4
5       4       12.3
5       8       12.4
5       16      12.4
5       32      12.4
5       64      12.3
5       128     12.5
5       256     12.5
5       512     12.6
5       1024    12.6
5       2048    12.6
6       1       12.5
6       2       8.4
6       4       12.4
6       8       8.4
6       16      12.5
6       32      8.5
6       64      12.3
6       128     8.4
6       256     12.2
6       512     8.2
6       1024    12.1
6       2048    8.2
7       1       12.1
7       2       7.1
7       4       12.0
7       8       11.9
7       16      11.9
7       32      7.0
7       64      11.9
7       128     11.9
7       256     12.1
7       512     7.2
7       1024    12.1
7       2048    12.2
8       1       11.8
8       2       11.7
8       4       6.3
8       8       6.4
8       16      11.7
8       32      11.7
8       64      11.7
8       128     6.2
8       256     11.7
8       512     11.8
8       1024    11.9
8       2048    6.4
9       1       10.6
9       2       11.9
9       4       10.6
9       8       12.2
9       16      11.9
9       32      6.8
9       64      10.4
9       128     11.8
9       256     11.7
9       512     6.6
9       1024    6.6
9       2048    10.1
10      1       11.3
10      2       11.7
10      4       6.9
10      8       9.3
10      16      11.5
10      32      11.6
10      64      7.1
10      128     9.4
10      256     11.5
10      512     11.8
10      1024    7.2
10      2048    9.6
11      1       11.9
11      2       7.6
11      4       11.9
11      8       8.5
11      16      11.5
11      32      7.3
11      64      7.6
11      128     7.6
11      256     11.9
11      512     11.9
11      1024    11.9
11      2048    11.6
12      1       11.5
12      2       8.5
12      4       7.7
12      8       7.5
12      16      7.6
12      32      7.6
12      64      7.7
12      128     7.7
12      256     7.8
12      512     7.8
12      1024    7.7
12      2048    7.5
13      1       7.8
13      2       11.0
13      4       7.9
13      8       8.0
13      16      8.0
13      32      7.9
13      64      7.9
13      128     7.7
13      256     7.8
13      512     7.8
13      1024    7.8
13      2048    7.9
14      1       8.1
14      2       9.9
14      4       6.7
14      8       6.7
14      16      6.9
14      32      7.0
14      64      6.9
14      128     7.1
14      256     11.4
14      512     11.5
14      1024    11.8
14      2048    11.8
15      1       8.3
15      2       8.3
15      4       8.6
15      8       8.4
15      16      8.6
15      32      8.5
15      64      8.2
15      128     12.0
15      256     9.7
15      512     6.7
15      1024    8.2
15      2048    11.8
16      1       8.6
16      2       8.4
16      4       12.1
16      8       9.5
16      16      6.6
16      32      8.4
16      64      12.2
16      128     8.9
16      256     6.2
16      512     8.7
16      1024    12.5
16      2048    9.2
18      1       6.5
18      2       11.6
18      4       9.9
18      8       7.5
18      16      10.7
18      32      12.7
18      64      9.1
18      128     8.4
18      256     11.4
18      512     13.3
18      1024    9.4
18      2048    10.0
20      1       9.2
20      2       11.7
20      4       9.3
20      8       11.7
20      16      8.7
20      32      10.5
20      64      9.1
20      128     10.7
20      256     9.3
20      512     11.3
20      1024    8.2
20      2048    10.6
24      1       9.0
24      2       6.9
24      4       9.0
24      8       8.9
24      16      9.3
24      32      8.9
24      64      9.4
24      128     8.8
24      256     8.9
24      512     8.6
24      1024    8.6
24      2048    8.8
30      1       7.1
30      2       7.7
30      4       7.8
30      8       7.6
30      16      7.6
30      32      7.9
30      64      7.8
30      128     7.2
30      256     7.3
30      512     7.4
30      1024    7.6
30      2048    7.9
36      1       7.1
36      2       7.0
36      4       6.6
36      8       6.4
36      16      7.0
36      32      6.7
36      64      6.9
36      128     7.0
36      256     6.6
36      512     6.5
36      1024    7.3
36      2048    6.1
48      1       5.6
48      2       5.0
48      4       5.9
48      8       5.3
48      16      5.8
48      32      5.2
48      64      5.8
48      128     5.3
48      256     5.5
48      512     5.6
48      1024    5.2
48      2048    5.8
64      1       4.5
64      2       4.7
64      4       5.0
64      8       4.0
64      16      4.8
64      32      4.1
64      64      5.0
64      128     4.3
64      256     4.7
64      512     4.9
64      1024    4.3
64      2048    4.8
72      1       4.1
72      2       4.5
72      4       4.4
72      8       4.0
72      16      4.3
72      32      3.8
72      64      4.4
72      128     4.2
72      256     4.1
72      512     4.4
72      1024    3.8
72      2048    4.3
96      1       3.7
96      2       3.0
96      4       3.8
96      8       4.0
96      16      4.1
96      32      4.3
96      64      4.1
96      128     4.2
96      256     4.8
96      512     4.1
96      1024    4.4
96      2048    3.6
128     1       4.7
128     2       4.6
128     4       4.3
128     8       4.7
128     16      4.8
128     32      4.6
128     64      4.8
128     128     4.7
128     256     4.7
128     512     2.7
128     1024    5.5
128     2048    5.9
200     1       5.0
200     2       5.4
200     4       5.0
200     8       5.2
200     16      5.4
200     32      5.3
200     64      2.1
200     128     1.5
200     256     9.6
200     512     9.2
200     1024    9.2
200     2048    9.2
256     1       9.3
256     2       1.7
256     4       1.7
256     8       1.6
256     16      1.7
256     32      2.4
256     64      7.6
256     128     6.7
256     256     7.7
256     512     7.3
256     1024    7.9
256     2048    8.3
